,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU B KC v TUN G0 2022-10-15.18.25,12,11,3,5,0,2,871,False,25,418,383.12476,53.72,3684,981,2857,625,827,356,39,8,80,33,1097,185,663,63.02,10.923146,64.57,11.191805,155.42,123.43,58.08,190.59,29.462389,23.398165,11.010009,36.129433,1783,790874,145.2,200.04,251.79,318.73,240.19,38.1,7.64,63,0.12,77.521736,42.173763,33.505856,24.320387,53.38682,40.231483,6.3816953,2801,2419,3315,3871,300.09,151.94,145,379.2,217.83,417.43,179.6,255.5,246.5,211.3,182.2,50.2638,24.286886,25.449306,63.514393,36.485603,69.917755,30.08224,44.285366,42.725414,36.62426,31.580406,0,1,Vati
EU K KC vs TL G2 2022-10-14.18.15,4,3,0,0,1,1,230,False,0,455,499.81302,49.95,2673,577,2012,329,661,248,23,4,63,24,244,86,345,56.92,17.738718,42.6,13.2759905,126.69,61.5,48.59,93.95,38.306175,18.59523,14.691744,28.406858,1661,527493,67.89,146.53,118.23,164.32,140.74,27.59,8.11,73,0.11,72.21739,35.54186,44.049297,20.408836,49.397266,42.308735,8.294003,3094,2926,3319,3849,120.96,129.08,82.61,192.31,140.34,246.83,85.81,103.1,117.6,94.7,120,36.36254,24.833908,38.803543,57.811516,42.188488,74.20334,25.796656,32.13039,36.649216,29.51259,37.397156,0,0,Vati
EU K KC vs TL G3 2022-10-14.18.22,4,14,0,1,4,1,472,False,0,467,477.84906,49.01,2657,536,1916,295,741,241,22,4,72,22,352,122,381,54.89,16.45285,35.42,10.616869,137.38,49.16,42.71,106,40.978374,14.663684,12.739746,31.618195,1659,547591,67.56,150,124.8,184.92,126.87,30.58,7.71,78,0.1,72.13043,36.452858,43.81353,19.733614,54.01174,37.0564,8.931857,2986,2784,3190,3696,143.57,131.26,67.54,210.44,131.93,238.66,103.71,101.5,127,99.8,131,41.93417,19.727196,38.33864,61.465668,38.534332,69.70821,30.29179,30.423836,38.067265,29.914274,39.26623,1,0,Vati
EU AB KC vs G1 G3 2022-10-14.19.16,3,7,0,0,4,2,545,True,0,446,496.1049,45.94,2611,657,1722,311,889,346,21,4,71,23,405,103,395,47.21,14.950282,34.71,10.99183,133.51,66.46,49.62,74.28,41.223328,20.52058,15.320962,22.93513,1618,506980,62.76,132.33,129.53,168.48,138.51,17.63,8.43,77,0.11,70.347824,39.90204,40.764587,19.333374,51.900684,42.66835,5.430965,2713,2721,2646,3552,132.86,114.72,77.03,185.5,139.12,263.75,60.87,119.8,85,108,105,40.929115,23.730015,35.340874,57.143738,42.856262,81.24885,18.751156,37.937805,26.917475,34.201027,33.251,2,0,Vati
EU AB KC vs G1 G2 2022-10-14.19.09,5,9,2,1,0,0,440,False,40,467,473.0554,47.84,2534,644,1974,485,560,159,23,5,51,15,354,14,344,50.32,15.656503,27.4,8.525203,119.95,62.54,60.95,80.25,37.05706,19.320955,18.829744,24.79224,1624,513874,67.63,138.11,124.45,157.72,139.59,32.88,8.18,71,0.12,70.608696,37.690422,41.82743,20.482145,47.766438,42.275658,9.957903,2727,2430,3045,3574,133.45,103.46,93.29,186.63,143.57,237.16,93.03,113.8,120.6,113.7,114.2,40.4149,28.252575,31.332527,56.52029,43.47971,71.82531,28.174686,35.407593,37.523335,35.37648,35.532047,1,1,Vati
EU AB KC vs G1 G1 2022-10-14.19.02,4,6,2,0,2,1,540,False,50,406,443.68622,55.82,2514,424,1927,281,587,143,26,4,58,14,747,141,238,50.31,14.798365,42.8,12.589346,102.03,62.64,42.63,134.3,29.868267,18.337236,12.479508,39.314987,1625,534581,66.72,154.72,132.82,177.26,157.83,19.16,5.83,58,0.1,70.652176,37.49224,43.674137,18.833624,50.03811,44.55328,5.40861,2871,2881,2854,3736,171.83,114.02,68.4,241.57,112.68,284.33,69.92,132.5,95.6,110,118,48.50529,19.308397,32.18631,68.191956,31.808044,80.26252,19.737474,38.974026,28.120129,32.355797,34.708946,1,2,Vati
EU AB KC vs G1 G0 2022-10-14.18.54,0,2,0,1,0,0,0,False,0,524,356.88275,51.37,245,10,186,0,59,10,2,0,5,1,13,0,84,4.49,10.900703,2.07,5.0254917,4.84,10.93,3.23,10.88,16.198126,36.57965,10.809906,36.412315,1530,50778,5.33,16.72,14.86,19.93,14.78,2.2,0.2,3,0.07,66.521736,40.260098,45.299377,14.440533,53.99621,40.04335,5.9604445,3720,3749,3826,3413,15.59,9.26,12.06,20.16,16.75,24.39,12.51,7.8,22.2,15.1,16.8,42.237873,32.67407,25.088049,54.619343,45.380657,66.09756,33.90244,18.936636,53.89658,36.659386,40.7866,0,0,Vati
EU Q KC vs BDS G5 2022-10-14.18.43,2,3,0,2,0,1,266,False,0,521,550.43756,53.5,3103,991,2187,720,916,271,27,9,68,24,553,188,382,55.53,16.417337,43.92,12.984863,103.49,55.51,82.1,105.97,29.818192,15.993892,23.65517,30.532745,1645,550601,74.06,148.12,127.73,178.19,133.74,37.98,8.79,80,0.11,71.521736,36.503674,42.330883,21.165442,50.924522,38.22126,10.854219,2817,2343,3203,3662,128.92,133.65,87.34,200.93,148.94,215.59,134.31,96,136.1,113.4,121.8,36.84376,24.960707,38.195538,57.429905,42.5701,61.61475,38.385254,28.382215,40.237705,33.52649,36.009933,0,0,Vati
EU Q KC v BDS G5 2022-10-14.18.43,2,3,0,2,0,1,266,False,0,516,550.5189,53.58,3103,991,2187,720,916,271,27,9,68,24,553,188,382,55.48,16.40498,43.98,13.004524,103.66,53.31,82.09,105.96,30.044636,15.451279,23.792824,30.711264,1646,550636,74.22,147.65,127.85,177.82,133.76,38.14,8.55,79,0.11,71.565216,36.55782,42.219486,21.222692,50.846386,38.247734,10.905867,2815,2328,3210,3662,128.83,133.43,87.45,200.68,148.96,215.65,134.06,93.3,134,110,118.1,36.839096,25.006435,38.15447,57.396175,42.60382,61.665382,38.33462,27.588041,39.622696,32.526096,34.921196,0,0,Vati
EU Q KC vs BDS G4 2022-10-14.18.36,3,3,3,0,1,1,611,False,100,446,458.04877,48.07,2716,465,1943,275,773,190,23,3,68,16,366,24,374,33.1,9.303763,39.75,11.172949,130.36,76.52,57.17,105.35,35.289658,20.714672,15.476449,28.51922,1595,552166,71.49,144.31,160.17,205.47,142.91,27.59,8.3,77,0.11,69.347824,42.601807,38.383385,19.014816,54.65064,38.011013,7.3383512,3079,3020,3181,3641,176.72,133.85,65.39,251.49,124.47,277.82,98.15,130,126.1,102.5,134,47.004997,17.392807,35.602192,66.89275,33.107243,73.894196,26.105806,36.540462,35.44425,28.81075,37.664783,0,1,Vati
EU Q KC v BDS G4 2022-10-14.18.36,3,3,3,0,1,1,611,False,100,447,458.2677,48.07,2716,465,1943,275,773,190,23,3,68,16,366,24,374,33.12,9.313835,39.75,11.17829,130.43,76.44,56.97,105.34,35.329647,20.705347,15.431498,28.533506,1598,552214,71.38,144.35,159.81,205.43,142.24,27.88,8.18,77,0.11,69.478264,42.55472,38.437984,19.007294,54.701107,37.875122,7.4237785,3088,3031,3181,3634,176.23,134.04,65.27,250.88,124.66,277.05,98.5,126.4,123.9,101.1,131.4,46.927094,17.380306,35.6926,66.80513,33.194866,73.7718,26.228199,35.545555,34.842518,28.43082,36.951626,0,1,Vati
EU Q KC vs BDS G3 2022-10-14.18.27,3,4,1,1,1,0,401,False,33.333332,417,471.74448,52.04,2656,660,1749,293,907,367,23,4,76,25,603,127,433,51.1,15.126846,41.35,12.240609,126.12,68.43,46.83,108.53,36.043552,19.556458,13.383441,31.016546,1654,550302,80.64,134.51,140.25,181.29,146.27,27.85,7.45,69,0.11,71.91304,39.462574,37.847492,22.689926,51.008694,41.155285,7.8360205,3022,3002,3056,3702,160.47,119.84,75.1,222.35,133.06,287.99,67.41,133.8,115.3,108.3,131.5,45.15067,21.130526,33.718803,62.561546,37.43845,81.03264,18.967363,39.608063,34.13161,32.05944,38.927208,0,0,Vati
EU Q KC v BDS G3 2022-10-14.18.27,3,4,1,1,1,0,401,False,33.333332,418,471.9121,52.19,2656,660,1749,293,907,367,23,4,76,25,615,127,425,51.19,15.158874,41.39,12.2568035,125.9,68.68,46.6,108.63,35.990967,19.633516,13.321518,31.054,1656,550301,80.29,134.29,140.54,181.02,146.4,27.7,7.5,66,0.11,72,39.57535,37.815384,22.609259,50.97432,41.2255,7.8001804,3021,2996,3059,3700,160.39,119.96,74.77,222.11,133.01,287.6,67.52,132.4,114,107,129.3,45.165016,21.054853,33.780132,62.545055,37.45494,80.98671,19.01329,39.207554,33.758774,31.685865,38.289555,0,0,Vati
EU Q KC vs BDS G2 2022-10-14.18.19,0,7,1,3,1,0,325,False,0,498,454.54007,51.93,2563,546,1852,368,711,178,23,4,67,16,506,42,435,36.43,10.767912,47.47,14.031095,106.96,69.09,76.6,83.31,31.837124,20.564947,22.800333,24.797596,1684,552721,85.83,143.65,117.51,187.09,132.42,27.48,8.1,76,0.11,73.21739,33.865532,41.398888,24.735584,53.917976,38.16248,7.919536,3175,3145,3206,3809,122.46,137.98,86.55,198.03,148.96,244.68,102.31,112.7,128.5,93.5,132.4,35.292084,24.943083,39.764835,57.070812,42.929195,70.515,29.485,33.311657,37.981792,27.636557,39.134544,1,2,Vati
EU Q KC v BDS G2 2022-10-14.18.19,0,7,1,3,1,0,325,False,0,497,454.15854,52.04,2561,546,1852,368,709,178,23,4,67,16,506,42,398,36.46,10.776142,47.39,14.00662,106.98,69.02,76.58,83.43,31.838337,20.541054,22.790987,24.829617,1684,552491,85.72,143.34,117.5,187.23,131.75,27.58,8.38,77,0.11,73.21739,33.904663,41.360806,24.734533,54.025284,38.01651,7.9582186,3183,3124,3243,3813,121.95,138.27,86.34,197.95,148.61,244.14,102.42,111.9,127.6,91.5,130.7,35.188713,24.913435,39.897854,57.118538,42.881462,70.44668,29.553324,33.073242,37.713543,27.043802,38.62978,1,2,Vati
EU Q KC vs BDS G1 2022-10-14.18.11,5,10,0,2,2,0,331,False,0,503,514.8093,58.72,2781,833,2092,563,689,270,29,9,55,25,833,356,374,38.8,11.970875,46.56,14.36505,81.89,76.7,59.04,108.88,25.080395,23.490856,18.08214,33.346603,1627,511998,77.44,116.75,135.74,156.17,147.64,26.11,6.42,60,0.11,70.73913,41.142063,35.386295,23.471645,47.33572,44.750244,7.91404,2696,2399,3019,3637,127.07,101.75,101.11,180.93,149,212.31,117.61,93.7,126,108.5,118.6,38.514233,30.645895,30.839876,54.838905,45.161095,64.35197,35.648037,28.909046,38.874493,33.475258,36.591385,3,2,Vati
EU Q KC v BDS G1 2022-10-14.18.11,5,10,0,2,2,0,331,False,0,503,514.7617,58.72,2781,833,2092,563,689,270,29,9,55,25,833,356,374,38.81,11.972853,46.42,14.320531,81.92,76.59,58.9,108.97,25.099577,23.466509,18.046448,33.387463,1628,512120,77.39,116.73,135.7,155.99,147.5,26.33,6.05,56,0.11,70.78261,41.143654,35.392033,23.464314,47.2955,44.721367,7.983143,2705,2425,3017,3628,127.09,101.51,101.22,180.69,149.13,212.07,117.74,92.2,123.7,105.3,117.4,38.53314,30.689466,30.777393,54.784428,45.215572,64.30066,35.69934,28.443623,38.161346,32.484962,36.2178,3,2,Vati
EU K KC vs TL G1 2022-10-14.18.08,4,7,1,2,1,1,354,False,25,472,495.46756,49,2742,409,1990,248,752,161,24,3,72,14,376,59,354,40.04,12.058425,39.69,11.953019,134.59,61.98,58.68,84.93,39.56435,18.219767,17.249691,24.966194,1664,544564,83.81,131.54,134.03,168.85,148.97,31.56,8.67,73,0.12,72.347824,38.36224,37.649548,23.988207,48.32847,42.638386,9.033144,2720,2745,2698,3671,166.44,114.62,68.32,243.3,106.07,243.94,105.44,98.8,127.8,133.9,93.6,47.63867,19.55464,32.806686,69.63964,30.360363,69.82082,30.179174,29.754557,38.488182,40.325253,28.188526,5,0,Vati
EU K KC vs TL G0 2022-10-14.18.00,1,0,0,0,0,0,28,False,0,656,247.00714,61.14,478,227,396,180,82,47,5,2,7,4,106,21,44,3.97,3.4191716,5.11,4.400999,13.96,2.09,3.59,19.27,35.877666,5.3713694,9.22642,49.524544,1227,71107,11.87,15.44,86.66,87.3,26.67,0,1.18,8,0.15,53.347828,76.037544,13.547423,10.415021,76.599106,23.400894,0,3533,2122,3652,3770,85.19,10.92,17.87,89.12,24.85,89.5,24.47,70.2,27.6,10.3,78.3,74.74118,15.67819,9.580627,78.196014,21.803984,78.529434,21.470562,60.459904,23.770563,8.870898,67.43606,1,0,Vati
EU F KC vs SLY G5 2022-10-14.16.40,6,2,1,1,1,0,459,True,16.666666,492,503.14365,53.03,3121,1095,2303,771,818,324,31,10,68,29,796,232,525,41.07,11.034984,53.27,14.312967,130.32,72.98,52.39,116.83,34.983356,19.590895,14.063674,31.362072,1683,619265,96.22,144.49,140.44,189.95,155.32,35.88,8.26,76,0.11,73.17391,36.846386,37.908962,25.244656,49.836018,40.750362,9.413616,2642,2430,2865,3771,108.72,134.67,137.75,179.37,201.77,257.05,124.09,110.6,150.4,145.1,106.5,28.52495,36.141575,35.333473,47.061447,52.93855,67.442406,32.55759,29.716805,40.410553,38.986515,28.615187,2,0,Vati
EU AE KC v SLY G5 2022-10-14.16.39,6,2,1,1,1,0,459,True,16.666666,491,502.0826,53.13,3114,1096,2307,771,807,325,31,10,67,29,793,232,544,41.12,11.049902,53.27,14.31489,130.27,73.34,52.24,116.63,34.97369,19.689646,14.024914,31.311747,1680,619249,96.37,144.35,140.16,189.93,155.03,35.92,7.93,76,0.1,73.04348,36.798992,37.89908,25.301931,49.8661,40.70311,9.430791,2629,2427,2849,3775,108.63,134.67,137.58,179.45,201.43,257.06,123.81,109.1,149.6,144.4,104.4,28.520794,36.121613,35.357594,47.114574,52.88542,67.49284,32.507156,29.31771,40.201008,38.803642,28.054712,2,0,Vati
EU F KC vs SLY G4 2022-10-14.16.32,4,9,0,2,2,2,513,False,0,418,447.61478,46.68,3331,493,2467,258,864,235,28,3,81,22,391,59,431,63.05,14.12094,56.95,12.754759,168.11,103.54,58.13,131.72,36.42687,22.435535,12.595883,28.541712,1638,724529,96.45,194.25,173.4,225.9,189.38,48.82,9.15,81,0.11,71.21739,37.36264,41.855206,20.78216,48.674854,40.80586,10.519284,3034,2743,3333,3766,195.17,170.21,98.73,292.25,171.86,318.72,145.39,144.8,161.1,131.5,170.5,42.052532,21.272974,36.674496,62.969986,37.030014,68.67338,31.326626,32.43001,36.080627,29.451288,38.18589,2,0,Vati
EU AE KC v SLY G4 2022-10-14.16.32,4,9,0,2,2,2,513,False,0,419,448.53534,46.57,3338,493,2469,258,869,235,28,3,81,22,396,59,436,62.61,14.021769,57,12.765386,168.57,103.17,58.33,131.36,36.532085,22.358755,12.641137,28.468023,1642,724361,96.29,194.07,173.45,226.6,188.44,48.77,9.49,81,0.12,71.391304,37.39678,41.842564,20.760654,48.856213,40.628704,10.515081,3041,2766,3322,3761,195.34,169.62,98.86,292.2,171.61,318.16,145.65,142.1,157.7,129.3,168.6,42.115475,21.314302,36.57022,62.99994,37.000065,68.59705,31.402943,31.823885,35.31757,28.95727,37.758667,2,0,Vati
EU F KC vs SLY G3 2022-10-14.16.21,3,3,1,2,1,0,349,False,33.333332,460,477.42535,52.94,2559,611,1767,261,792,350,23,3,77,35,568,57,324,41.4,12.873134,47.68,14.8258705,112.46,57.67,49.03,110.2,34.14501,17.509716,14.886447,33.45883,1709,544080,79.2,143.16,110.86,191.2,116.88,25.14,5.87,56,0.1,74.304344,33.26931,42.96261,23.76808,57.379513,35.075928,7.5445657,2933,2907,2943,3788,97.88,123.54,111.79,160.16,173.06,235.75,97.47,109.9,124.3,103.3,116.4,29.37487,33.549416,37.075718,48.064342,51.935658,70.749054,29.250946,34.172886,38.650497,32.120647,36.19403,1,0,Vati
EU AE KC v SLY G3 2022-10-14.16.21,3,3,1,2,1,0,349,False,33.333332,460,477.41693,52.82,2558,613,1768,263,790,350,23,3,77,35,585,74,328,41.37,12.8686075,47.62,14.81274,112.46,57.72,48.99,110.2,34.14397,17.524364,14.87385,33.457813,1708,543932,78.79,143.43,110.73,191.15,116.64,25.16,6.04,54,0.11,74.26087,33.257244,43.078537,23.664213,57.411026,35.032288,7.5566907,2918,2895,2921,3794,97.85,123.46,111.65,160.2,172.75,235.22,97.73,108.8,122.6,102.2,115.3,29.387915,33.53256,37.07953,48.11533,51.884666,70.64724,29.352755,33.84347,38.13612,31.790468,35.86537,1,0,Vati
EU F KC vs SLY G2 2022-10-14.16.14,3,5,0,1,2,0,259,False,0,449,450.65854,52.99,2361,843,1698,571,663,272,21,6,60,24,420,38,312,43.58,13.863969,46.42,14.767449,92.68,48.37,66.06,105.18,29.677542,15.488808,21.153414,33.680233,1660,511870,67.69,137.2,112.39,156.3,142.15,18.83,6.88,58,0.12,72.17391,35.42297,43.24256,21.334469,49.26248,44.802696,5.934821,3022,2767,3267,3760,116.14,109.02,92.12,171.15,146.13,229.87,87.41,123.8,97,92.7,126.5,36.604893,29.034292,34.360817,53.94289,46.05711,72.4502,27.549799,39.384106,30.858307,29.49036,40.24305,0,1,Vati
EU AE KC v SLY G2 2022-10-14.16.14,3,5,0,1,2,0,259,False,0,449,450.62988,52.99,2361,843,1698,571,663,272,21,6,60,24,420,38,299,43.58,13.863088,46.37,14.750605,92.75,48.39,65.82,105.35,29.698057,15.494221,21.075214,33.73251,1659,511882,67.95,136.59,112.68,156.21,142.05,18.97,6.97,60,0.12,72.13043,35.52109,43.05845,21.420465,49.241875,44.778236,5.979888,3005,2761,3243,3754,116.08,109.21,91.94,171.05,146.18,229.88,87.34,122.4,96.3,91.1,125.1,36.591747,28.982126,34.426125,53.919872,46.08013,72.46706,27.532942,38.936253,30.633669,28.979515,39.79514,0,1,Vati
EU F KC vs SLY G1 2022-10-14.16.07,3,4,1,1,1,3,491,False,33.333332,451,484.06195,54.5,2698,776,1956,529,742,247,23,6,69,24,427,97,349,46.88,14.0183,49.45,14.786795,110.3,56.75,60.24,116.5,32.083538,16.50717,17.522324,33.886967,1672,550383,81.7,135.85,134.37,185.14,143.04,23.73,6.67,65,0.1,72.695656,38.181976,38.602528,23.215504,52.610043,40.64675,6.7432013,3026,3153,2849,3877,144.23,123.44,84.24,204.97,146.95,269.08,82.84,115.9,117.6,112.6,119.3,40.98491,23.937939,35.07715,58.243355,41.756653,76.460556,23.539442,34.657017,35.16536,33.670235,35.673702,0,0,Vati
EU AE KC v SLY G1 2022-10-14.16.07,3,4,1,1,1,3,491,False,33.333332,454,486.61264,54.47,2711,776,1956,529,755,247,23,6,69,24,427,97,349,46.8,14.000659,49.35,14.763515,110.42,57.1,60.25,115.93,32.126858,16.613327,17.529823,33.73,1671,550538,81.46,135.64,134.45,185.36,142.34,23.85,6.83,66,0.1,72.652176,38.244915,38.583416,23.171669,52.726494,40.48926,6.7842407,3015,3134,2854,3873,143.69,123.74,84.12,204.57,146.98,269.07,82.48,115.4,116.8,110.3,118.4,40.873276,23.928318,35.19841,58.190872,41.80913,76.538185,23.461811,34.52299,34.941814,32.99728,35.42047,0,0,Vati
EU AF KC vs WR G3 2022-10-07.21.01,3,6,1,0,2,1,428,False,33.333332,420,397.22256,51.31,2212,433,1418,172,794,261,17,2,67,23,336,35,382,36.23,10.84341,35.17,10.526157,118.66,68.8,39.95,96.56,36.626846,21.236536,12.331388,29.80523,1605,516537,80.79,129.73,132.01,180.2,150.35,11.98,6.43,55,0.12,69.78261,38.53969,37.874054,23.586256,52.608532,43.893967,3.497504,2831,2855,2696,3744,157.22,89.8,95.51,202.09,140.44,259.65,82.88,121.8,106.3,114.3,131.2,45.899624,27.883686,26.216679,58.99921,41.00079,75.80358,24.19642,36.453968,31.814917,34.209267,39.26733,2,2,Vati
2022-10-07.22.01 Player Private Win,3,6,1,0,2,1,428,False,33.333332,421,397.5438,51.56,2212,445,1418,172,794,273,17,2,68,24,347,35,394,36.36,10.891119,34.89,10.450801,118.4,68.62,39.65,96.98,36.582726,21.201916,12.250888,29.964466,1611,516216,81.07,128.97,132.05,180.25,149.82,12.02,6.3,58,0.11,70.04348,38.60095,37.700603,23.69844,52.69081,43.795494,3.5136952,2850,2882,2708,3758,157.21,89.46,95.42,201.71,140.38,259.46,82.62,116.6,102.1,110.7,124.9,45.955746,27.893246,26.151012,58.964012,41.03598,75.847755,24.152246,34.925865,30.582596,33.158604,37.41201,2,2,Vati
EU AF KC vs WR G2 2022-10-07.20.53,4,6,3,1,0,1,603,True,75,380,400.71066,51.13,2293,811,1662,599,631,212,22,7,58,21,580,118,334,49.66,14.463797,57.82,16.84045,124.19,69.57,37.32,117.31,35.64683,19.969,10.712132,33.67203,1618,529496,73.72,131.62,148.85,193.6,141.61,18.97,7.67,70,0.11,70.347824,42.02547,37.160847,20.813688,54.66147,39.98249,5.356033,3066,3061,3085,3825,162.85,132.07,59.27,231.81,122.38,252.47,101.72,118.1,125.3,113.5,140.1,45.97815,16.733955,37.2879,65.44792,34.552074,71.28095,28.71905,34.397392,36.49444,33.05761,40.805035,0,3,Vati
2022-10-07.21.54 Player Private Win,4,6,3,1,0,1,603,True,75,382,402.6564,51.11,2304,811,1662,599,642,212,22,7,59,21,580,118,334,49.76,14.493767,57.49,16.74531,124.37,69.73,37.12,117.22,35.693375,20.012054,10.653197,33.641373,1617,529649,73.32,132.78,147.95,193.82,141.34,18.89,7.37,69,0.11,70.304344,41.787884,37.503178,20.70894,54.743683,39.920918,5.335405,3083,3092,3086,3817,162.62,132.71,58.72,231.61,122.44,252.69,101.36,112.4,119.5,107.6,134,45.931366,16.585228,37.48341,65.41731,34.582687,71.37128,28.628725,32.739136,34.807175,31.341022,39.03064,0,3,Vati
EU AF KC vs WR G1 2022-10-07.20.45,5,7,1,1,1,1,453,False,20,426,450.541,55.54,2436,864,1675,532,761,332,22,6,63,23,578,86,184,33.09,10.200055,49.06,15.122838,96.12,48.49,57.01,131.91,28.818996,14.538423,17.092915,39.549667,1604,514482,71.38,126.76,137.92,164.88,138.91,32.26,6.66,56,0.12,69.73913,41.04029,37.719456,21.240253,49.064125,41.33611,9.599761,2843,2582,3079,3588,144.06,115.79,76.21,194.97,141.08,254.51,81.55,114.7,133.7,122.2,120.5,42.867344,22.677498,34.45516,58.018154,41.98185,75.7335,24.266502,35.35649,41.21328,37.66838,37.144356,0,0,Vati
2022-10-07.21.46 Player Private Win,5,7,1,1,1,1,453,False,20,426,450.49933,55.39,2436,853,1675,532,761,321,22,6,63,22,578,86,191,33.01,10.174454,49.29,15.192331,96.47,48.38,57.13,131.58,28.921333,14.504137,17.127354,39.447178,1606,514498,70.91,126.96,138.09,165.83,137.72,32.4,6.47,57,0.11,69.82609,41.103107,37.790215,21.106682,49.361515,40.994198,9.644294,2835,2566,3082,3590,143.98,115.65,76.32,194.73,141.22,254.57,81.38,110.9,129.3,117.6,116.2,42.85757,22.717667,34.424767,57.96398,42.036015,75.77615,24.22384,34.181976,39.853287,36.24707,35.81556,0,0,Vati
EU AF KC vs WR G0 2022-10-07.20.38,1,2,0,1,0,0,36,False,0,388,480.9455,59.18,997,230,845,207,152,23,11,3,14,3,267,105,100,11.59,9.318218,21.1,16.964142,25.55,13.27,25.44,62.18,20.207212,10.495096,20.120214,49.177475,1794,201170,44.48,44.52,40.9,58.14,61.85,9.92,1.39,17,0.08,78,31.485762,34.27252,34.241726,44.75406,47.609882,7.6360555,2878,2935,2735,3935,55.62,32.66,41.62,71.8,58.11,84.13,45.77,39.3,37.2,41.7,36.7,42.817554,32.04003,25.142418,55.269035,44.730965,64.765205,35.2348,31.59672,29.908346,33.52629,29.506351,0,0,Vati
2022-10-07.21.38 Player Private Win,1,2,0,1,0,0,36,False,0,390,481.91412,59.55,997,230,845,207,152,23,11,3,14,3,267,105,100,11.63,9.36921,21.3,17.15943,25.31,13.49,25.43,62.05,20.042763,10.6826105,20.137789,49.13684,1790,201373,44.94,44.64,40.14,57.69,62.3,9.73,1.4,18,0.08,77.82609,30.943571,34.412582,34.64385,44.47271,48.02652,7.5007706,2888,2941,2747,3963,55.31,32.97,41.44,71.84,57.88,83.86,45.86,37.3,34.3,39.6,34.7,42.63799,31.945728,25.41628,55.380817,44.61918,64.646935,35.35307,30.049143,27.632322,31.902037,27.954565,0,0,Vati
EU AD KC vs VIT G3 2022-10-07.20.22,1,8,1,1,4,0,530,True,100,390,441.1468,44.73,2403,612,1430,312,973,300,17,4,80,20,319,111,396,54.49,16.672277,35.92,10.990423,140.59,78.22,41.58,78.53,41.481766,23.079191,12.268381,23.170658,1673,540372,72.76,146.92,121.63,199.9,129.49,11.91,8.08,75,0.11,72.73913,35.636227,43.04591,21.317863,58.57017,37.940228,3.4895985,3007,3146,2886,3557,174.38,118.07,48.86,243.74,97.57,252.52,88.79,108.6,106.6,103.7,127.1,51.091385,14.315432,34.593185,71.413086,28.586916,73.98553,26.014473,33.228287,32.616344,31.729034,38.88872,0,0,Vati
EU AD KC vs VIT G2 2022-10-07.20.14,2,8,0,0,1,0,269,False,0,422,465.74997,47.29,2467,615,1632,423,835,192,19,5,58,16,227,76,387,45.29,14.250653,32.03,10.078349,130.89,61.12,61.03,65.96,41.03135,19.159874,19.131662,20.677116,1568,490756,58.67,128.79,136.16,162.44,139.88,21.3,6.97,55,0.13,68.17391,42.07404,39.796673,18.129288,50.19467,43.223534,6.581794,3137,2930,3355,3725,162.84,84.16,76.62,209.15,114.47,247.34,76.28,135.5,96.4,85.8,141,50.318275,23.675919,26.00581,64.628265,35.371735,76.429146,23.570854,42.635536,30.332588,26.997263,44.36613,0,1,Vati
EU AD KC vs VIT G1 2022-10-07.20.07,5,8,2,2,1,0,462,True,40,422,451.69205,52.28,2516,556,1741,349,775,207,20,4,64,19,258,52,274,50.01,14.963646,43.04,12.878131,104.51,69.01,50.97,118.76,30.447195,20.10488,14.849236,34.59869,1645,530628,76.44,134.87,134.18,182.1,137.39,25.99,7.92,66,0.12,71.521736,38.837593,39.03731,22.1251,52.70928,39.76786,7.522867,2895,3038,2735,3673,147.71,125.14,72.63,207.97,137.51,270.89,74.6,126.9,108.7,115.5,117.2,42.755013,21.022924,36.22207,60.19741,39.802593,78.40748,21.59252,37.97014,32.52446,34.55911,35.067772,0,2,Vati
